iter	Passed	Remaining
455	933	2342
456	935	2340
457	938	2339
458	940	2337
459	942	2336
460	945	2334
461	947	2332
462	949	2331
463	951	2329
464	953	2328
465	955	2325
466	957	2323
467	959	2321
468	962	2319
469	964	2318
470	966	2316
471	968	2314
472	970	2312
473	972	2310
474	974	2308
475	976	2306
476	979	2305
477	981	2303
478	983	2301
479	985	2300
480	988	2298
481	990	2296
482	992	2295
483	994	2293
484	996	2291
485	999	2290
486	1001	2288
487	1003	2287
488	1005	2284
489	1007	2283
490	1010	2281
491	1012	2279
492	1014	2278
493	1016	2276
494	1018	2274
495	1021	2272
496	1023	2271
497	1025	2269
498	1027	2267
499	1030	2266
500	1032	2264
501	1034	2263
502	1036	2261
503	1039	2259
504	1041	2258
505	1043	2256
506	1046	2255
507	1048	2253
508	1050	2251
509	1052	2250
510	1054	2247
511	1056	2245
512	1059	2243
513	1060	2241
514	1062	2238
515	1064	2237
516	1067	2235
517	1069	2233
518	1071	2231
519	1073	2230
520	1076	2228
521	1078	2226
522	1080	2224
523	1082	2222
524	1084	2221
525	1087	2219
526	1089	2218
527	1091	2216
528	1094	2214
529	1096	2212
530	1098	2211
531	1100	2209
532	1102	2208
533	1105	2206
534	1107	2204
535	1109	2202
536	1111	2200
537	1113	2198
538	1115	2196
539	1118	2194
540	1120	2192
541	1122	2190
542	1124	2189
543	1126	2186
544	1128	2185
545	1130	2183
546	1133	2181
547	1135	2180
548	1137	2178
549	1140	2176
550	1142	2174
551	1144	2173
552	1146	2170
553	1148	2169
554	1150	2166
555	1153	2165
556	1155	2163
557	1157	2162
558	1160	2160
559	1162	2158
560	1164	2156
561	1166	2155
562	1168	2152
563	1171	2151
564	1173	2149
565	1175	2147
566	1177	2146
567	1180	2144
568	1182	2142
569	1184	2141
570	1187	2139
571	1189	2137
572	1191	2135
573	1193	2133
574	1196	2132
575	1198	2130
576	1200	2129
577	1203	2127
578	1205	2125
579	1207	2123
580	1209	2121
581	1212	2120
582	1214	2118
583	1216	2116
584	1218	2114
585	1221	2112
586	1223	2111
587	1225	2109
588	1227	2107
589	1230	2105
590	1232	2104
591	1234	2102
592	1236	2100
593	1238	2098
594	1241	2096
595	1243	2094
596	1245	2092
597	1247	2090
598	1249	2088
599	1252	2086
600	1254	2084
601	1256	2083
602	1259	2081
603	1261	2079
604	1263	2077
605	1265	2075
606	1267	2073
607	1269	2071
608	1272	2070
609	1274	2068
610	1276	2066
611	1278	2064
612	1281	2062
613	1283	2061
614	1285	2059
615	1287	2057
616	1290	2055
617	1292	2053
618	1294	2052
619	1297	2050
620	1299	2048
621	1301	2046
622	1303	2044
623	1305	2042
624	1308	2040
625	1310	2038
626	1312	2036
627	1314	2034
628	1316	2033
629	1319	2031
630	1321	2029
631	1323	2027
632	1325	2025
633	1327	2023
634	1330	2021
635	1332	2019
636	1334	2017
637	1336	2015
638	1339	2013
639	1341	2011
640	1343	2009
641	1345	2007
642	1347	2005
643	1349	2003
644	1351	2001
645	1354	1999
646	1356	1997
647	1358	1995
648	1360	1993
649	1362	1991
650	1364	1989
651	1366	1987
652	1369	1985
653	1371	1983
654	1373	1981
655	1375	1979
656	1378	1978
657	1380	1976
658	1382	1974
659	1384	1972
660	1387	1970
661	1389	1968
662	1391	1966
663	1393	1964
664	1395	1962
665	1397	1960
666	1399	1958
667	1402	1956
668	1404	1954
669	1406	1952
670	1408	1950
671	1410	1948
672	1413	1946
673	1415	1944
674	1417	1942
675	1419	1940
676	1422	1938
677	1424	1936
678	1426	1934
679	1428	1933
680	1431	1931
681	1433	1929
682	1435	1927
683	1438	1925
684	1440	1923
685	1442	1921
686	1444	1919
687	1446	1917
688	1449	1916
689	1451	1913
690	1453	1912
691	1456	1910
692	1458	1908
693	1460	1906
694	1462	1904
695	1464	1902
696	1467	1900
697	1469	1898
698	1471	1896
699	1473	1894
700	1476	1892
701	1478	1890
702	1480	1888
703	1482	1886
704	1484	1884
705	1486	1882
706	1489	1880
707	1491	1878
708	1493	1877
709	1495	1875
710	1497	1872
711	1500	1871
712	1502	1869
713	1505	1867
714	1507	1865
715	1509	1863
716	1511	1861
717	1513	1859
718	1515	1857
719	1518	1855
720	1520	1853
721	1522	1851
722	1524	1849
723	1527	1847
