iter	RMSE
168	362960.794
169	362719.1363
170	362315.1307
171	361872.8214
172	361678.0566
173	361073.2695
174	360796.3003
175	360592.4812
176	360200.8359
177	359741.9332
178	359436.2467
179	359120.2894
180	358552.5029
181	358149.8962
182	357819.7718
183	356945.4427
184	356517.4196
185	356068.0115
186	355791.2868
187	355536.3562
188	355138.8269
189	354788.6662
190	354379.1007
191	354070.4619
192	353705.8315
193	353148.2321
194	353012.9777
195	352744.5991
196	352206.3313
197	351831.5705
198	351240.4078
199	351111.5702
200	350804.79
201	350330.5882
202	350189.7082
203	349786.5903
204	349483.8344
205	349180.943
206	348871.1182
207	348449.4018
208	347909.8508
209	347538.7882
210	347287.8554
211	347078.2009
212	346564.2608
213	346301.9875
214	345994.4284
215	345676.8687
216	345425.9995
217	344898.2266
218	344542.5641
219	344166.9522
220	343805.3781
221	343470.2162
222	343189.4509
223	342794.4364
224	342523.3638
225	342419.2667
226	342049.9229
227	341948.6562
228	341620.3804
229	341252.951
230	340914.9116
231	340397.8277
232	340149.5807
233	339828.2818
234	339506.6331
235	339264.5762
236	338981.1644
237	338737.6431
238	338418.4013
239	338273.8354
240	337972.8223
241	337669.4517
242	337460.2181
243	337079.4206
244	336845.5134
245	336512.5139
246	336045.3446
247	335796.1103
248	335415.416
249	334936.0769
250	334563.1452
251	334232.0125
252	333832.6766
253	333561.4469
254	333258.3534
255	332905.5614
256	332661.325
257	332553.3941
258	332476.5855
259	331946.2828
260	331715.1458
261	331422.2745
262	331331.2179
263	331055.3491
264	330791.9205
265	330705.234
266	330559.1284
267	330114.8077
268	329691.3547
269	329439.7605
270	329079.7526
271	328814.8713
272	328524.3228
273	328304.1557
274	328019.8606
275	327764.2345
276	327304.3368
277	327131.0662
278	326637.3668
279	326543.7576
280	326469.3381
281	326325.0687
282	326026.8476
283	325737.4981
284	325479.3068
285	325183.4022
286	324866.3347
287	324488.7188
288	324025.547
289	323792.5365
290	323513.1825
291	323267.4712
292	322927.3873
293	322610.6143
294	322464.5675
295	322142.403
296	321719.1837
297	321469.4464
298	321274.8607
299	320978.7878
300	320693.516
301	320486.1839
302	320170.4102
303	319833.1297
304	319545.3768
305	319259.3986
306	318958.8606
307	318675.7377
308	318395.2382
309	318114.8935
310	317897.9639
311	317789.4123
312	317477.4844
313	317200.2359
314	316914.7788
315	316715.0791
316	316451.8705
317	316348.1529
318	315866.639
319	315622.3915
320	315333.0968
321	315119.3563
322	314851.3482
323	314755.1314
324	314499.2501
325	314199.8696
326	313914.6522
327	313708.3899
328	313408.0722
329	313205.2163
330	312880.4387
331	312804.1288
332	312587.8496
333	312313.8745
334	311834.2656
335	311617.1012
336	311188.9801
337	310973.9532
338	310735.524
339	310475.9324
340	310052.8974
341	309730.3134
342	309437.4637
343	309145.7064
344	308871.4519
345	308582.9829
346	308361.5045
347	308119.0696
348	307843.3421
349	307581.6828
350	307107.2319
351	306842.4501
352	306564.2917
353	306279.6559
354	305943.369
355	305678.3686
356	305586.1587
357	305454.6939
358	305405.692
359	305220.3483
360	304971.5892
361	304744.0072
362	304483.3601
363	304164.3051
364	303822.4293
365	303619.7642
366	303388.5422
367	303087.2908
368	302859.2109
369	302545.8489
370	302478.0038
371	301964.205
372	301679.4885
373	301445.8774
374	301068.8801
375	300809.0723
376	300611.7718
377	300365.3167
378	300078.7714
379	299904.9391
380	299681.1143
381	299446.2477
382	299296.8689
383	299024.6773
384	298632.7451
385	298347.8129
386	298240.6959
387	297999.4585
388	297779.0928
389	297515.6505
390	297269.6218
391	297001.7405
392	296738.8272
393	296553.921
394	296304.793
395	296008.6244
396	295743.7012
397	295533.1743
398	295319.9446
399	295145.4115
400	294900.4725
401	294645.1501
402	294457.9426
403	294247.2985
404	294135.9672
405	293909.6498
406	293675.5637
407	293460.6851
408	293283.6949
409	293003.1058
410	292858.3153
411	292590.6995
412	292334.7374
413	292145.5393
414	291873.4057
415	291616.0641
416	291349.1627
417	291078.895
418	290706.8056
419	290454.9686
420	290337.8687
421	290119.7815
422	289814.8787
423	289639.1352
424	289577.2606
425	289312.4341
426	289249.7516
427	289008.5031
428	288743.5501
429	288440.259
430	288372.1292
431	288116.273
432	287821.785
433	287655.9785
434	287381.2046
435	287230.0796
436	287032.8506
437	286842.5956
438	286571.4653
439	286376.6355
440	286005.3391
441	285774.7653
442	285508.2608
443	285253.7727
444	284974.9827
445	284741.0934
446	284465.6216
447	284197.2195
448	283951.2188
449	283696.2633
450	283537.4486
451	283301.831
452	283123.7791
453	282923.8879
454	282725.4189
455	282459.1615
456	282193.3006
457	281948.5036
458	281753.5851
459	281483.818
460	281224.0149
461	281065.1035
462	280851.9657
463	280625.6277
464	280368.3086
465	280139.0195
466	279893.5813
467	279717.6469
468	279469.1822
469	279279.0651
470	278907.6732
471	278698.6054
472	278438.152
473	278208.0276
474	278035.2053
475	277787.6067
476	277560.4786
477	277377.0033
478	277142.0474
479	276877.2969
480	276662.7964
481	276386.8355
482	276181.6897
483	275972.7074
484	275767.7802
485	275536.6162
486	275342.9946
487	275160.8876
488	274847.0904
489	274655.6593
490	274412.5827
491	274197.3503
492	273992.9268
493	273771.7857
494	273535.454
495	273312.6742
496	273107.9045
497	272898.2509
498	272759.9228
499	272582.9684
500	272351.4833
501	272188.6421
502	272000.7646
503	271781.9637
504	271506.2339
505	271266.1515
506	271058.6765
507	270835.6022
508	270623.0474
509	270494.0844
510	270270.4677
511	270105.1532
512	269764.5562
513	269534.2858
514	269288.184
515	269071.3192
516	268965.7256
517	268751.0061
518	268528.497
519	268330.6958
520	268101.7157
521	267867.5793
522	267688.5541
523	267468.211
524	267222.3152
525	266998.6989
526	266858.8667
527	266634.9399
528	266485.7578
529	266253.6044
530	266113.4011
531	265937.8146
532	265743.8803
533	265590.7294
534	265364.3316
535	265143.2323
536	264908.206
537	264682.5736
538	264318.9206
539	264164.8745
540	263952.1526
541	263865.8949
542	263664.8243
543	263467.2313
544	263266.811
545	262985.7345
546	262947.6115
547	262731.246
548	262663.4559
549	262446.3725
550	262288.941
551	262088.1913
552	261923.4435
553	261742.6935
554	261630.4115
555	261399.8847
556	261090.0284
557	260888.4522
558	260673.4857
559	260471.0808
560	260400.1014
561	260183.4117
562	259964.9675
563	259760.8051
564	259533.5115
565	259404.6791
566	259212.7723
567	258871.5678
568	258722.0724
569	258503.7912
570	258341.3694
571	258131.8511
572	257857.1239
573	257665.7975
574	257489.9826
575	257161.2429
576	256954.0959
577	256832.7078
578	256607.7267
579	256400.8526
580	256216.8912
581	255993.6562
582	255876.2995
583	255664.0117
584	255481.3174
585	255275.5092
586	255007.8442
587	254782.8953
588	254609.9195
589	254447.7813
590	254351.054
591	254149.1034
592	253933.2575
593	253725.0826
594	253571.0552
595	253360.621
596	253204.9833
597	253052.9215
598	252877.0124
599	252705.0747
600	252488.8542
601	252360.7359
602	252147.0068
603	252033.7945
604	251912.8434
605	251721.8648
606	251548.5569
607	251400.9424
608	251226.5531
609	251095.8173
610	250883.7025
611	250672.6777
612	250515.4777
613	250362.9177
614	250072.0404
615	249892.1162
616	249760.2422
617	249615.9091
618	249409.7627
619	249341.5922
620	249132.1287
621	248922.4392
622	248691.7388
623	248505.9011
624	248361.1861
625	248189.1888
626	248061.7639
627	247858.7844
628	247694.4951
629	247500.4872
630	247226.72
631	247045.5227
632	246840.9427
633	246681.0248
634	246500.2893
635	246375.0218
636	246185.992
637	246008.6597
638	245870.9787
639	245725.3934
640	245586.6132
641	245372.4037
642	245218.9842
643	245031.089
644	244839.096
645	244685.6304
646	244492.3231
647	244299.0252
648	244094.3043
649	243916.6984
650	243851.9174
651	243731.2204
652	243606.4569
653	243382.3163
654	243218.6534
655	243091.8962
656	242959.6957
657	242788.8233
658	242586.3756
659	242466.7154
660	242247.2827
661	242061.36
662	241862.9219
663	241729.6833
664	241576.6402
665	241445.1706
666	241253.8745
667	241134.5812
668	240995.2739
669	240846.2797
670	240651.5764
671	240468.4051
672	240243.7603
673	240061.4367
674	239725.6136
675	239592.9823
676	239456.0103
677	239275.2213
678	239100.5177
679	238921.6254
680	238729.0001
681	238537.7826
682	238392.5443
683	238258.8102
684	238116.0717
685	237936.1637
686	237759.9701
687	237578.4209
688	237409.7702
689	237272.5254
690	237067.8492
691	236893.0864
692	236712.5091
693	236544.7563
694	236450.3928
695	236296.1513
696	236107.0446
697	235915.2573
698	235747.0518
699	235550.4493
700	235450.9007
701	235233.7779
702	235051.9948
703	234921.26
704	234634.4987
705	234509.5893
706	234366.7608
707	234184.0425
708	234033.5707
709	233871.9822
710	233694.9811
711	233591.5912
712	233485.282
713	233323.768
714	233181.8416
715	233019.3996
716	232878.7949
717	232715.8173
718	232557.7472
719	232495.9192
720	232325.7431
721	232182.9739
722	232000.1795
723	231832.1453
724	231579.8193
725	231397.3032
726	231265.8669
727	231101.0461
728	230991.8249
729	230876.1298
730	230760.4445
731	230634.1549
732	230466.206
733	230286.7373
734	230127.973
735	229936.1747
736	229766.6717
737	229613.0485
738	229424.4487
739	229259.6223
740	229119.4237
741	229016.1505
742	228841.4961
743	228733.6232
744	228569.5069
745	228398.3168
746	228241.9468
747	228078.2002
748	227931.749
749	227821.4285
750	227656.0227
751	227519.998
752	227414.5054
753	227247.3831
754	227093.2511
755	227040.2294
756	226917.2334
757	226737.5917
758	226704.328
759	226580.1717
760	226461.9801
761	226310.9163
762	226186.4864
763	226090.3024
764	225975.322
765	225868.5606
766	225725.5221
767	225609.4465
768	225417.8031
769	225251.8608
770	225145.8347
771	224991.5147
772	224833.2636
773	224682.6113
774	224495.8749
775	224362.3176
776	224181.2619
777	224027.0345
778	223915.9291
779	223835.274
780	223725.6825
781	223608.0569
782	223471.6041
783	223319.5436
784	223214.7275
785	223079.8742
786	222962.4006
787	222816.3348
788	222655.165
789	222491.928
790	222342.5676
791	222201.7226
792	222096.6583
793	221930.1109
794	221828.3827
795	221667.2554
796	221542.9937
797	221397.7979
798	221278.1308
799	221113.5335
800	220950.4952
801	220789.4826
802	220645.0243
803	220512.7384
804	220357.9077
805	220218.007
806	220078.8583
807	219819.9049
808	219705.6432
809	219511.4117
810	219361.1371
811	219219.2311
812	219132.0576
813	218984.9202
814	218843.4843
815	218703.6799
816	218549.0606
817	218413.9176
818	218201.5236
819	218103.0504
820	217940.8851
821	217803.5555
822	217652.2632
823	217492.77
824	217351.982
825	217192.606
826	217131.428
827	216967.0574
828	216848.2166
829	216756.273
830	216568.6726
831	216467.6714
832	216311.2531
833	216160.3317
834	216088.3599
835	215996.4905
836	215840.173
837	215690.7883
838	215540.2289
839	215392.8283
840	215237.843
841	215127.5314
842	215044.4382
843	214942.9141
844	214777.4694
845	214634.4065
846	214501.0027
847	214347.5995
848	214246.7261
849	214110.0699
850	213957.7498
851	213844.5656
852	213710.2079
853	213604.3118
854	213478.8056
855	213376.6214
856	213257.3984
857	213147.4216
858	213012.005
859	212874.8578
860	212786.6289
861	212649.2615
862	212596.3847
863	212547.5452
864	212441.7579
865	212283.0795
866	212156.7048
867	212053.1141
868	211906.1283
869	211785.2022
870	211637.676
871	211544.6374
872	211360.7031
873	211207.1982
874	210953.2564
875	210803.3114
876	210667.2671
877	210536.9755
878	210375.4665
879	210219.5748
880	210066.311
881	209930.1392
882	209798.7396
883	209696.2852
884	209559.008
885	209430.4623
886	209285.6855
887	209163.7277
888	209022.8531
889	208886.3953
890	208754.6123
891	208624.4191
892	208493.4635
893	208365.2968
894	208160.6546
895	208067.1333
896	208034.3835
897	207907.4393
898	207779.3934
899	207596.4044
900	207470.9566
901	207344.2837
902	207271.1865
903	207064.5946
904	206950.3222
905	206819.9991
906	206684.176
907	206554.4077
908	206459.9037
909	206286.2609
910	206157.9693
911	206010.0374
912	205891.0651
913	205757.9072
914	205616.1325
915	205496.322
916	205357.0824
917	205307.7997
918	205175.6296
919	205038.6929
920	204922.8992
921	204834.1261
922	204717.9604
923	204636.5564
924	204500.9416
925	204397.1163
926	204271.7477
927	204163.7717
928	204069.882
929	203944.9868
930	203851.6272
931	203699.9761
932	203608.4763
933	203480.9409
934	203368.8665
935	203243.6699
936	203129.3505
937	203048.458
938	202952.1109
939	202832.3627
940	202696.9052
941	202561.0723
942	202444.7483
943	202307.6892
944	202198.1835
945	202093.8658
946	201920.8471
947	201811.5656
948	201758.1616
949	201629.2065
950	201548.4956
951	201525.4246
952	201404.5352
953	201275.1477
954	201182.9581
955	201038.0556
956	200902.4186
957	200788.5939
958	200631.5272
959	200567.0122
960	200450.4278
961	200353.8795
962	200263.2084
963	200141.2941
964	200024.377
965	199936.5512
966	199764.9555
967	199654.4844
968	199511.4331
969	199430.1034
970	199316.6602
971	199225.2138
972	199158.8319
973	199019.3945
974	198892.3244
975	198758.1689
976	198671.7312
977	198576.8778
978	198495.222
979	198379.7459
980	198251.3192
981	198184.9318
982	198051.5376
983	197973.5732
984	197850.7087
985	197735.0544
986	197682.1295
987	197539.2753
988	197443.8936
989	197339.4192
990	197206.6048
991	197116.992
992	197003.1052
993	196883.4886
994	196750.7532
995	196632.5168
996	196513.6581
997	196387.8524
998	196272.4468
999	196194.7437
1000	196121.8475
1001	196020.4108
1002	195894.2603
1003	195780.6971
1004	195663.0424
1005	195582.6448
1006	195453.7774
1007	195297.0993
1008	195260.7872
1009	195145.1764
1010	195085.6166
1011	194997.8556
1012	194919.8631
1013	194845.9492
1014	194762.0485
1015	194718.5321
1016	194594.232
1017	194494.1838
1018	194404.4048
1019	194279.8321
1020	194160.7473
1021	194054.7943
1022	193946.8162
1023	193928.012
1024	193837.197
1025	193704.4486
1026	193659.8203
1027	193588.4807
1028	193486.4284
1029	193358.4712
1030	193219.8327
1031	193100.4223
1032	193005.8736
1033	192897.3844
1034	192867.6768
1035	192807.122
1036	192705.0087
1037	192593.3744
1038	192503.0511
1039	192418.3962
1040	192305.7137
1041	192263.8241
1042	192152.0839
1043	192050.1757
1044	191930.9481
1045	191845.5984
1046	191739.0315
1047	191631.8561
1048	191525.9932
1049	191415.482
1050	191330.1647
1051	191249.5933
1052	191179.2231
1053	191095.1019
1054	190981.5105
1055	190907.4704
1056	190793.2173
1057	190682.3681
1058	190559.9172
1059	190468.2333
1060	190365.738
1061	190249.4802
1062	190176.6555
1063	190101.2476
1064	189993.4995
1065	189914.7671
1066	189836.1797
1067	189734.404
1068	189614.7851
1069	189531.7311
1070	189429.5409
1071	189334.1981
1072	189226.3569
1073	189122.0615
1074	189012.0617
1075	188954.2137
1076	188903.8338
1077	188833.8146
1078	188765.9602
1079	188676.0737
1080	188561.5841
1081	188452.4897
1082	188338.7746
1083	188234.9075
1084	188173.6253
1085	188063.355
1086	187964.0828
1087	187843.6675
1088	187739.5486
1089	187624.2195
1090	187518.0052
1091	187431.5878
1092	187346.3969
1093	187313.1354
1094	187209.5628
1095	187094.7052
1096	187035.6506
1097	186964.1531
1098	186854.9534
1099	186733.6927
1100	186619.7511
1101	186533.5513
1102	186412.4451
1103	186344.0865
1104	186266.8799
1105	186175.9033
1106	186071.505
1107	185954.4503
1108	185843.4847
1109	185744.3937
1110	185632.0457
1111	185554.4149
1112	185478.3623
1113	185402.2658
1114	185357.5935
1115	185254.0048
1116	185165.5155
1117	185076.4376
1118	185011.8213
1119	184861.4503
1120	184780.6644
1121	184633.7598
1122	184580.4365
1123	184484.5926
1124	184380.4469
1125	184274.1225
1126	184225.6593
1127	184136.6824
1128	184073.7018
1129	183974.6472
1130	183910.4874
1131	183793.4836
1132	183714.1412
1133	183621.5443
1134	183521.2247
1135	183440.2911
1136	183327.5993
1137	183217.0015
1138	183106.2161
1139	183041.5439
1140	182964.336
1141	182892.0606
1142	182801.6588
1143	182715.8046
1144	182632.1754
1145	182568.7695
1146	182470.1769
1147	182360.6129
1148	182276.824
1149	182191.5113
1150	182084.397
1151	181997.7291
1152	181920.5232
1153	181804.1204
1154	181683.6189
1155	181600.5501
1156	181488.2681
1157	181420.608
1158	181385.2922
1159	181309.8539
1160	181209.949
1161	181111.9325
1162	181023.5255
1163	180980.2234
1164	180889.0164
1165	180820.3076
1166	180716.2678
1167	180601.109
1168	180462.5035
1169	180353.9323
1170	180259.3537
1171	180204.0826
1172	180102.9433
1173	180007.7708
1174	179914.0851
1175	179812.7386
1176	179741.6505
1177	179635.6513
1178	179564.4239
1179	179488.774
1180	179393.2198
1181	179281.0382
1182	179186.1699
1183	179086.2714
1184	179020.5957
1185	178851.4172
1186	178764.026
1187	178657.0344
1188	178545.762
1189	178481.3287
1190	178370.0075
1191	178314.8039
1192	178167.9899
1193	178067.3147
1194	177975.338
1195	177887.1856
1196	177857.1425
1197	177803.7974
1198	177692.4467
1199	177623.0812
1200	177555.1737
1201	177468.8084
1202	177410.1618
1203	177311.316
1204	177239.3858
1205	177165.0702
1206	177067.4805
1207	176993.6232
1208	176911.2691
1209	176811.0236
1210	176725.8332
1211	176648.3611
1212	176554.7325
1213	176469.6251
1214	176421.6222
1215	176328.3103
1216	176294.5745
1217	176194.3464
1218	176073.8336
1219	176022.5473
1220	175955.6814
1221	175856.6927
1222	175765.736
1223	175658.5046
1224	175634.1502
1225	175539.9409
1226	175483.3962
1227	175375.5653
1228	175273.5925
1229	175196.9015
1230	175137.5087
1231	175067.4127
1232	174971.1492
1233	174874.6789
1234	174770.6043
1235	174684.9785
1236	174629.0515
1237	174568.068
1238	174480.246
1239	174405.9123
1240	174314.06
1241	174249.5063
1242	174172.0776
1243	174118.2532
1244	174038.7723
1245	173988.3813
1246	173888.2147
1247	173810.5097
1248	173750.2282
1249	173654.3188
1250	173541.7532
1251	173456.7311
1252	173384.1304
1253	173319.069
1254	173242.931
1255	173148.1487
1256	173056.5627
1257	172996.1179
1258	172922.3316
1259	172838.3919
1260	172748.5772
1261	172685.3808
1262	172590.0833
1263	172531.1412
1264	172402.9364
1265	172310.4608
1266	172254.132
1267	172170.5951
1268	172122.8138
1269	172026.4691
1270	171919.8733
1271	171848.4093
1272	171783.1211
1273	171690.6223
1274	171603.3979
1275	171548.2935
1276	171533.6599
1277	171450.5743
1278	171363.5363
1279	171273.8663
1280	171190.5304
1281	171107.8868
1282	171033.7015
1283	170946.696
1284	170861.3729
1285	170788.4222
1286	170698.0336
1287	170612.222
1288	170520.6236
1289	170468.1727
1290	170371.5208
1291	170336.43
1292	170265.1504
1293	170183.1635
1294	170100.2088
1295	169997.884
1296	169919.1884
1297	169846.0146
1298	169760.9736
1299	169664.8779
1300	169545.8171
1301	169424.7291
1302	169393.9706
1303	169295.8484
1304	169225.3227
1305	169137.3216
1306	169087.2026
1307	168999.1803
1308	168910.9279
1309	168858.3234
1310	168796.1178
1311	168720.7329
1312	168608.2088
1313	168499.5058
1314	168454.8799
1315	168326.7131
1316	168275.4618
1317	168156.8626
1318	168121.2279
1319	168064.95
1320	167983.8038
1321	167915.7227
1322	167793.9087
1323	167703.1111
1324	167610.5294
1325	167533.597
1326	167461.9196
1327	167359.0384
1328	167269.6558
1329	167186.6098
1330	167103.6626
1331	167000.7918
1332	166925.3873
1333	166836.5443
1334	166758.9881
1335	166679.5891
1336	166616.1274
1337	166571.1476
1338	166499.2894
1339	166422.412
1340	166330.9479
1341	166253.6047
1342	166178.5525
1343	166130.7707
1344	166063.1342
1345	165993.7289
1346	165923.1924
1347	165872.2361
1348	165748.2616
1349	165684.3981
1350	165592.9586
1351	165513.8481
1352	165430.5385
1353	165365.2685
1354	165276.5356
1355	165252.0588
1356	165170.4507
1357	165093.3999
1358	165016.0498
1359	164938.8528
1360	164875.9527
1361	164825.0669
1362	164772.1354
1363	164727.4059
1364	164672.9271
1365	164568.4183
1366	164510.6527
1367	164460.4118
1368	164403.6277
1369	164367.8949
1370	164283.9932
1371	164190.1565
1372	164097.2974
1373	163984.8792
1374	163910.8697
1375	163780.4847
1376	163716.2948
1377	163689.8914
1378	163624.0719
1379	163546.2402
1380	163449.2826
1381	163361.4186
1382	163300.2286
1383	163230.9729
1384	163179.5151
1385	163079.6567
1386	162988.6571
1387	162898.4107
1388	162830.9247
1389	162757.264
1390	162673.2624
1391	162619.1585
1392	162540.301
1393	162473.1449
1394	162448.6935
1395	162396.0131
1396	162328.2379
1397	162268.2157
1398	162187.8702
1399	162104.868
1400	162030.0203
1401	161986.5913
1402	161904.31
1403	161826.7173
1404	161790.1353
1405	161708.4587
1406	161694.7728
1407	161635.8404
1408	161576.295
1409	161489.3927
1410	161396.9785
1411	161356.2204
1412	161279.1017
1413	161234.3104
1414	161176.09
1415	161102.3984
1416	161040.9365
1417	160982.5437
1418	160949.7142
1419	160852.4207
1420	160775.2128
1421	160649.3524
1422	160581.0055
1423	160514.2386
1424	160404.1189
1425	160314.1362
1426	160243.0707
1427	160170.618
1428	160101.5899
1429	160016.8729
1430	159964.0145
1431	159860.0918
1432	159783.1967
1433	159709.4575
1434	159654.5895
1435	159615.1315
1436	159557.2505
1437	159486.4784
1438	159415.9804
1439	159351.5703
1440	159275.2581
1441	159201.161
1442	159134.7025
1443	159039.7887
1444	158979.5619
1445	158926.3134
1446	158852.8895
1447	158806.9482
1448	158741.0922
1449	158688.6814
1450	158631.5653
1451	158567.6789
1452	158521.0382
1453	158439.7785
1454	158374.2261
1455	158328.4715
1456	158272.6778
1457	158204.8258
1458	158141.2835
1459	158071.8415
1460	158028.0527
1461	157980.8947
1462	157946.8684
1463	157820.4864
1464	157725.0732
1465	157661.9653
1466	157590.3512
1467	157544.4775
1468	157459.5254
1469	157378.2687
1470	157332.9083
1471	157295.4105
1472	157262.6651
1473	157176.5853
1474	157131.6663
1475	157069.0749
1476	157018.7703
1477	156904.9484
1478	156834.6773
1479	156755.3123
1480	156694.1915
1481	156614.0276
1482	156531.1996
1483	156459.1563
1484	156384.8924
1485	156301.0096
1486	156240.7986
1487	156184.3621
1488	156130.6276
1489	156066.6022
1490	155998.8851
1491	155929.996
1492	155852.0497
1493	155799.679
1494	155725.6769
1495	155658.2087
1496	155610.3774
1497	155521.9703
1498	155475.6067
1499	155421.7178
1500	155356.7476
1501	155266.9108
1502	155220.0481
1503	155183.5604
1504	155114.6888
1505	155033.2603
1506	154979.1243
1507	154922.3893
1508	154831.4978
1509	154669.6125
1510	154610.6007
1511	154534.2216
1512	154474.2383
1513	154415.0401
1514	154331.6292
1515	154270.6419
1516	154211.3398
1517	154121.0243
1518	154043.3615
1519	153957.7408
1520	153918.588
1521	153854.4094
1522	153815.7222
1523	153758.9031
1524	153683.6949
1525	153611.0825
1526	153528.8857
1527	153462.9056
1528	153407.0744
1529	153363.692
1530	153288.9375
1531	153249.3323
1532	153185.9684
1533	153135.3208
1534	153079.5486
1535	153016.7086
1536	152959.8472
1537	152905.6329
1538	152860.233
1539	152794.4043
1540	152711.5647
1541	152669.7397
1542	152601.6743
1543	152530.6639
1544	152473.0997
1545	152397.6493
1546	152345.199
1547	152273.7239
1548	152222.395
1549	152180.2747
1550	152117.3972
1551	152066.7124
1552	152047.9232
1553	151994.7513
1554	151931.2512
1555	151869.2006
1556	151802.4917
1557	151718.4927
1558	151664.7573
1559	151605.509
1560	151541.7333
1561	151491.9497
1562	151435.9199
1563	151370.5984
1564	151320.5578
1565	151250.8895
1566	151210.6389
1567	151180.9032
1568	151125.4091
1569	151068.0637
1570	151016.1417
1571	150966.1629
1572	150909.226
1573	150815.7788
1574	150722.4855
1575	150663.6056
1576	150595.8339
1577	150511.527
1578	150463.9598
1579	150372.2733
1580	150331.1041
1581	150277.9721
1582	150220.1204
1583	150179.7822
1584	150129.2329
1585	150030.8197
1586	149966.6462
1587	149914.3392
1588	149876.296
1589	149826.5067
1590	149753.8422
1591	149694.1689
1592	149598.4607
1593	149551.7072
1594	149511.4241
1595	149464.3822
1596	149404.2546
1597	149356.034
1598	149287.5712
1599	149230.2534
